iter	Passed	Remaining
937	51912	3431
938	51962	3375
939	52013	3319
940	52063	3264
941	52118	3209
942	52170	3153
943	52221	3097
944	52271	3042
945	52322	2986
946	52373	2931
947	52425	2875
948	52476	2820
949	52535	2765
950	52590	2709
951	52647	2654
952	52701	2599
953	52753	2543
954	52807	2488
955	52859	2432
956	52911	2377
957	52963	2321
958	53017	2266
959	53074	2211
960	53136	2156
961	53191	2101
962	53246	2045
963	53304	1990
964	53361	1935
965	53415	1880
966	53477	1824
967	53543	1770
968	53599	1714
969	53654	1659
970	53709	1604
971	53762	1548
972	53816	1493
973	53868	1437
974	53918	1382
975	53969	1327
976	54019	1271
977	54070	1216
978	54122	1160
979	54173	1105
980	54223	1050
981	54272	994
982	54323	939
983	54373	884
984	54422	828
985	54471	773
986	54523	718
987	54573	662
988	54625	607
989	54676	552
990	54728	497
991	54778	441
992	54830	386
993	54879	331
994	54930	276
995	54978	220
996	55029	165
997	55078	110
998	55127	55
999	55177	0
